id,name
http://purl.bioontology.org/ontology/OMIM/137440,GERSTMANN-STRAUSSLER DISEASE
http://purl.bioontology.org/ontology/OMIM/607822,ALZHEIMER DISEASE 3
http://purl.bioontology.org/ontology/OMIM/607485,"FRONTOTEMPORAL LOBAR DEGENERATION WITH TDP43 INCLUSIONS, GRN-RELATED"
http://purl.bioontology.org/ontology/OMIM/607136,SPINOCEREBELLAR ATAXIA 17
http://purl.bioontology.org/ontology/OMIM/248900,MAST SYNDROME
http://purl.bioontology.org/ontology/OMIM/192315,"VASCULOPATHY, RETINAL, WITH CEREBRAL LEUKOENCEPHALOPATHY AND SYSTEMIC MANIFESTATIONS"
http://purl.bioontology.org/ontology/OMIM/613454,"RETT SYNDROME, CONGENITAL VARIANT"
http://purl.bioontology.org/ontology/OMIM/615157,"MITOCHONDRIAL COMPLEX III DEFICIENCY, NUCLEAR TYPE 2"
http://purl.bioontology.org/ontology/OMIM/615889,"LEUKOENCEPHALOPATHY, PROGRESSIVE, WITH OVARIAN FAILURE"
http://purl.bioontology.org/ontology/OMIM/617330,"HYPOTONIA, ATAXIA, AND DELAYED DEVELOPMENT SYNDROME"
http://purl.bioontology.org/ontology/OMIM/221770,POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY 1
http://purl.bioontology.org/ontology/OMIM/618010,GLYCOSYLPHOSPHATIDYLINOSITOL BIOSYNTHESIS DEFECT 17
http://purl.bioontology.org/ontology/OMIM/618193,POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY 2
http://purl.bioontology.org/ontology/OMIM/616354,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 20"
http://purl.bioontology.org/ontology/OMIM/618890,NEURODEVELOPMENTAL DISORDER AND STRUCTURAL BRAIN ANOMALIES WITH OR WITHOUT SEIZURES AND SPASTICITY
http://purl.bioontology.org/ontology/OMIM/221820,"LEUKOENCEPHALOPATHY, HEREDITARY DIFFUSE, WITH SPHEROIDS 1"
http://purl.bioontology.org/ontology/OMIM/619680,MARBACH-SCHAAF NEURODEVELOPMENTAL SYNDROME
http://purl.bioontology.org/ontology/OMIM/620158,SPINOCEREBELLAR ATAXIA 50
http://purl.bioontology.org/ontology/OMIM/105550,FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 1
http://purl.bioontology.org/ontology/OMIM/254780,MYOCLONIC EPILEPSY OF LAFORA 1
http://purl.bioontology.org/ontology/OMIM/218000,AGENESIS OF THE CORPUS CALLOSUM WITH PERIPHERAL NEUROPATHY
http://purl.bioontology.org/ontology/OMIM/609340,"SPASTIC PARAPLEGIA 28, AUTOSOMAL RECESSIVE"
http://purl.bioontology.org/ontology/OMIM/270700,"SPASTIC PARAPLEGIA 15, AUTOSOMAL RECESSIVE"
http://purl.bioontology.org/ontology/OMIM/256840,"NEUROPATHY, HEREDITARY SENSORY, WITH SPASTIC PARAPLEGIA, AUTOSOMAL RECESSIVE"
http://purl.bioontology.org/ontology/OMIM/603472,NEURONAL INTRANUCLEAR INCLUSION DISEASE
http://purl.bioontology.org/ontology/OMIM/612780,"SEIZURES, SENSORINEURAL DEAFNESS, ATAXIA, IMPAIRED INTELLECTUAL DEVELOPMENT, AND ELECTROLYTE IMBALANCE"
http://purl.bioontology.org/ontology/OMIM/613287,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2N"
http://purl.bioontology.org/ontology/OMIM/613115,"NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE IIB"
http://purl.bioontology.org/ontology/OMIM/613710,THIAMINE METABOLISM DYSFUNCTION SYNDROME 4 (BILATERAL STRIATAL DEGENERATION AND PROGRESSIVE POLYNEUROPATHY TYPE)
http://purl.bioontology.org/ontology/OMIM/614563,"CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 13"
http://purl.bioontology.org/ontology/OMIM/615035,"SPASTIC PARAPLEGIA 55, AUTOSOMAL RECESSIVE"
http://purl.bioontology.org/ontology/OMIM/615673,MYOPATHY WITH EXTRAPYRAMIDAL SIGNS
http://purl.bioontology.org/ontology/OMIM/615809,"PONTOCEREBELLAR HYPOPLASIA, TYPE 9"
http://purl.bioontology.org/ontology/OMIM/616280,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2U"
http://purl.bioontology.org/ontology/OMIM/616867,SPINAL MUSCULAR ATROPHY WITH CONGENITAL BONE FRACTURES 2
http://purl.bioontology.org/ontology/OMIM/616866,SPINAL MUSCULAR ATROPHY WITH CONGENITAL BONE FRACTURES 1
http://purl.bioontology.org/ontology/OMIM/617183,HAREL-YOON SYNDROME
http://purl.bioontology.org/ontology/OMIM/617087,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, AUTOSOMAL RECESSIVE, TYPE 2A2B"
http://purl.bioontology.org/ontology/OMIM/617070,"PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL RECESSIVE 4"
http://purl.bioontology.org/ontology/OMIM/615957,SPINOCEREBELLAR ATAXIA 38
http://purl.bioontology.org/ontology/OMIM/618124,"PERIPHERAL NEUROPATHY, AUTOSOMAL RECESSIVE, WITH OR WITHOUT IMPAIRED INTELLECTUAL DEVELOPMENT"
http://purl.bioontology.org/ontology/OMIM/611890,CONGENITAL ARTHROGRYPOSIS WITH ANTERIOR HORN CELL DISEASE
http://purl.bioontology.org/ontology/OMIM/610357,"SPASTIC PARAPLEGIA 30, AUTOSOMAL DOMINANT"
http://purl.bioontology.org/ontology/OMIM/616668,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2X"
http://purl.bioontology.org/ontology/OMIM/616719,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 21"
http://purl.bioontology.org/ontology/OMIM/619955,DWORSCHAK-PUNETHA NEURODEVELOPMENTAL SYNDROME
http://purl.bioontology.org/ontology/OMIM/620285,"AMYOTROPHIC LATERAL SCLEROSIS 27, JUVENILE"
http://purl.bioontology.org/ontology/OMIM/222730,DICARBOXYLIC AMINOACIDURIA
http://purl.bioontology.org/ontology/OMIM/619365,MEGACYSTIS-MICROCOLON-INTESTINAL HYPOPERISTALSIS SYNDROME 4
http://purl.bioontology.org/ontology/OMIM/616192,"ATAXIA, COMBINED CEREBELLAR AND PERIPHERAL, WITH HEARING LOSS AND DIABETES MELLITUS"
http://purl.bioontology.org/ontology/OMIM/613706,NOONAN SYNDROME 7
http://purl.bioontology.org/ontology/OMIM/618049,"PARKINSONISM-DYSTONIA 2, INFANTILE-ONSET"
http://purl.bioontology.org/ontology/OMIM/620448,"MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 4, REMITTING"
http://purl.bioontology.org/ontology/OMIM/612463,PSEUDOPSEUDOHYPOPARATHYROIDISM
http://purl.bioontology.org/ontology/OMIM/600384,"APHALANGIA, PARTIAL, WITH SYNDACTYLY AND DUPLICATION OF METATARSAL IV"
http://purl.bioontology.org/ontology/OMIM/300388,"POLYMICROGYRIA, BILATERAL PERISYLVIAN, X-LINKED"
http://purl.bioontology.org/ontology/OMIM/604168,"CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY"
http://purl.bioontology.org/ontology/OMIM/611105,LEUKOENCEPHALOPATHY WITH BRAINSTEM AND SPINAL CORD INVOLVEMENT AND LACTATE ELEVATION
http://purl.bioontology.org/ontology/OMIM/612462,"PSEUDOHYPOPARATHYROIDISM, TYPE IC"
http://purl.bioontology.org/ontology/OMIM/103580,"PSEUDOHYPOPARATHYROIDISM, TYPE IA"
http://purl.bioontology.org/ontology/OMIM/603896,LEUKOENCEPHALOPATHY WITH VANISHING WHITE MATTER 1
http://purl.bioontology.org/ontology/OMIM/620313,LEUKOENCEPHALOPATHY WITH VANISHING WHITE MATTER 3
http://purl.bioontology.org/ontology/OMIM/612674,"POLYNEUROPATHY, HEARING LOSS, ATAXIA, RETINITIS PIGMENTOSA, AND CATARACT"
http://purl.bioontology.org/ontology/OMIM/613640,"NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE IC"
http://purl.bioontology.org/ontology/OMIM/608809,"LEUKOENCEPHALOPATHY, ARTHRITIS, COLITIS, AND HYPOGAMMAGLOBULINEMA"
http://purl.bioontology.org/ontology/OMIM/608118,"ZINC DEFICIENCY, TRANSIENT NEONATAL"
http://purl.bioontology.org/ontology/OMIM/606367,IMMUNODEFICIENCY 41 WITH LYMPHOPROLIFERATION AND AUTOIMMUNITY
http://purl.bioontology.org/ontology/OMIM/103285,ADULT SYNDROME
http://purl.bioontology.org/ontology/OMIM/614162,IMMUNODEFICIENCY 31C
http://purl.bioontology.org/ontology/OMIM/614868,IMMUNODEFICIENCY 110 WITH LYMPHOPROLIFERATION
http://purl.bioontology.org/ontology/OMIM/615607,IMMUNODEFICIENCY 17
http://purl.bioontology.org/ontology/OMIM/615816,IMMUNODEFICIENCY 23
http://purl.bioontology.org/ontology/OMIM/615952,"AUTOIMMUNE DISEASE, MULTISYSTEM, INFANTILE-ONSET, 1"
http://purl.bioontology.org/ontology/OMIM/617237,IMMUNODEFICIENCY 49
http://purl.bioontology.org/ontology/OMIM/618213,"INFLAMMATORY BOWEL DISEASE, IMMUNODEFICIENCY, AND ENCEPHALOPATHY"
