subject,predicate,object
http://purl.bioontology.org/ontology/OMIM/MTHU036402,manifestation_of,http://purl.bioontology.org/ontology/OMIM/137440
http://purl.bioontology.org/ontology/OMIM/MTHU036402,manifestation_of,http://purl.bioontology.org/ontology/OMIM/607822
http://purl.bioontology.org/ontology/OMIM/MTHU036402,manifestation_of,http://purl.bioontology.org/ontology/OMIM/607485
http://purl.bioontology.org/ontology/OMIM/MTHU036402,manifestation_of,http://purl.bioontology.org/ontology/OMIM/607136
http://purl.bioontology.org/ontology/OMIM/MTHU036402,manifestation_of,http://purl.bioontology.org/ontology/OMIM/248900
http://purl.bioontology.org/ontology/OMIM/MTHU036402,manifestation_of,http://purl.bioontology.org/ontology/OMIM/192315
http://purl.bioontology.org/ontology/OMIM/MTHU036402,manifestation_of,http://purl.bioontology.org/ontology/OMIM/613454
http://purl.bioontology.org/ontology/OMIM/MTHU036402,manifestation_of,http://purl.bioontology.org/ontology/OMIM/615157
http://purl.bioontology.org/ontology/OMIM/MTHU036402,manifestation_of,http://purl.bioontology.org/ontology/OMIM/615889
http://purl.bioontology.org/ontology/OMIM/MTHU036402,manifestation_of,http://purl.bioontology.org/ontology/OMIM/617330
http://purl.bioontology.org/ontology/OMIM/MTHU036402,manifestation_of,http://purl.bioontology.org/ontology/OMIM/221770
http://purl.bioontology.org/ontology/OMIM/MTHU036402,manifestation_of,http://purl.bioontology.org/ontology/OMIM/618010
http://purl.bioontology.org/ontology/OMIM/MTHU036402,manifestation_of,http://purl.bioontology.org/ontology/OMIM/618193
http://purl.bioontology.org/ontology/OMIM/MTHU036402,manifestation_of,http://purl.bioontology.org/ontology/OMIM/616354
http://purl.bioontology.org/ontology/OMIM/MTHU036402,manifestation_of,http://purl.bioontology.org/ontology/OMIM/618890
http://purl.bioontology.org/ontology/OMIM/MTHU036402,manifestation_of,http://purl.bioontology.org/ontology/OMIM/221820
http://purl.bioontology.org/ontology/OMIM/MTHU036402,manifestation_of,http://purl.bioontology.org/ontology/OMIM/619680
http://purl.bioontology.org/ontology/OMIM/MTHU036402,manifestation_of,http://purl.bioontology.org/ontology/OMIM/620158
http://purl.bioontology.org/ontology/OMIM/MTHU036402,manifestation_of,http://purl.bioontology.org/ontology/OMIM/105550
http://purl.bioontology.org/ontology/OMIM/MTHU036402,manifestation_of,http://purl.bioontology.org/ontology/OMIM/254780
http://purl.bioontology.org/ontology/OMIM/MTHU003516,manifestation_of,http://purl.bioontology.org/ontology/OMIM/218000
http://purl.bioontology.org/ontology/OMIM/MTHU003516,manifestation_of,http://purl.bioontology.org/ontology/OMIM/609340
http://purl.bioontology.org/ontology/OMIM/MTHU003516,manifestation_of,http://purl.bioontology.org/ontology/OMIM/270700
http://purl.bioontology.org/ontology/OMIM/MTHU003516,manifestation_of,http://purl.bioontology.org/ontology/OMIM/256840
http://purl.bioontology.org/ontology/OMIM/MTHU003516,manifestation_of,http://purl.bioontology.org/ontology/OMIM/603472
http://purl.bioontology.org/ontology/OMIM/MTHU003516,manifestation_of,http://purl.bioontology.org/ontology/OMIM/612780
http://purl.bioontology.org/ontology/OMIM/MTHU003516,manifestation_of,http://purl.bioontology.org/ontology/OMIM/613287
http://purl.bioontology.org/ontology/OMIM/MTHU003516,manifestation_of,http://purl.bioontology.org/ontology/OMIM/613115
http://purl.bioontology.org/ontology/OMIM/MTHU003516,manifestation_of,http://purl.bioontology.org/ontology/OMIM/613710
http://purl.bioontology.org/ontology/OMIM/MTHU003516,manifestation_of,http://purl.bioontology.org/ontology/OMIM/614563
http://purl.bioontology.org/ontology/OMIM/MTHU003516,manifestation_of,http://purl.bioontology.org/ontology/OMIM/615035
